County,Year,% Naloxone Admin,% OD Survival,Opioid Overdoses,3+ Prescribers and 3+ Dispensers,Average Daily MME > 50,Overlapping Opioid/Benzodiazepine Prescriptions,Total Drug Dispensation,Total Prescriptions,Incidents - Fentanyl,Incidents - Heroin,Incidents - Opium,Arrests - Fentanyl,Arrests - Heroin,Arrests - Opium,Drug Quantity - Fentanyl,Drug Quantity - Heroin,Drug Quantity - Opium,%Incidents Fentanyl,%Arrests Fentanyl,%Quantity Fentanyl,Drug Take-Back Sites,Drug Treatment Locations,County Population,County Percent Change Since 2010
Delaware,2018,0.65625,0.703125,1.1095123346566578,12.724719588093548,488.41079694190665,493.1088882339684,5681.4312709117075,5444.56772359274,0.0866806511450514,2.4964027529774806,0.0,0.052008390687030844,2.843125357557686,0.0,0.0003600714248565435,0.009327323474853943,0.0,3.3557046979865772,1.7964071856287425,3.716906646050989,0.9534871625955654,0.5200839068703085,576830,0.032
Delaware,2022,0.5319148936170213,0.7446808510638298,0.8147981207634831,2.7564447064126343,124.85480990933203,132.5693878612416,1924.7958670665535,1890.383648561968,0.5547561673283289,1.0575039439696272,0.034672260458020555,0.8841426416795243,1.2482013764887403,0.034672260458020555,0.6877543643707851,0.009070731411334363,0.0173708024894683,33.68421052631579,40.8,96.29771972020656,0.9534871625955654,0.5200839068703085,576830,0.032
Delaware,2019,0.717948717948718,0.6153846153846154,0.6761090789314008,10.852417523360435,391.224450878075,421.510670388156,5082.103912764593,4843.732122115702,0.26004195343515424,2.999150529618779,0.0,0.3293864743511953,3.4325537853440355,0.0,0.09139971915469029,0.0953686528093199,0.0,7.9787234042553195,8.755760368663594,48.937471689426516,0.9534871625955654,0.5200839068703085,576830,0.032
Delaware,2020,0.5555555555555556,0.5873015873015873,1.0921762044276475,6.778426919543019,311.85964668966596,358.3724840941005,4574.17263318482,4195.950279978503,0.39873099526723643,2.7564447064126343,0.0,0.4680755161832776,3.501898306260076,0.0,0.002856647539136314,0.022023351767418476,0.0,12.637362637362637,11.790393013100436,11.481702647731638,0.9534871625955654,0.5200839068703085,576830,0.032
Delaware,2021,0.5714285714285714,0.6938775510204082,0.8494703812215038,6.899779831146092,273.5121266230952,325.8845760449353,4301.839363417298,3983.6693653242723,0.4680755161832776,2.1150078879392544,0.034672260458020555,0.6761090789314008,2.600419534351542,0.034672260458020555,0.2957238701177123,0.07623880519390464,2.0803356274812337e-07,17.880794701986755,20.418848167539267,79.50359655731619,0.9534871625955654,0.5200839068703085,576830,0.032
Chester,2018,0.8133971291866029,0.7511961722488039,3.9108330074305826,10.47878700555563,412.7519353009751,408.2797387039612,4223.475102589196,4592.7213596974625,0.09356059826388953,1.422121093611121,0.037424239305555815,0.11227271791666744,1.197575657777786,0.037424239305555815,0.020518774805253614,0.001990389455346333,4.678029913194477e-06,6.024096385542169,8.333333333333332,91.1384851172196,0.43037875201389186,0.4678029913194477,534413,0.071
Chester,2022,0.5522388059701493,0.7313432835820896,1.25371201673612,2.4887119138194618,117.7366568552786,125.46476227187587,1563.4350212288998,1695.2431920630672,0.43037875201389186,0.80462114506945,0.018712119652777907,0.4865151109722256,0.9168938629861174,0.0,0.001296057543510356,0.01654944771178845,2.619696751388907e-06,34.32835820895522,34.66666666666667,7.261589365786457,0.43037875201389186,0.4678029913194477,534413,0.071
Chester,2019,0.7257142857142858,0.8057142857142857,3.274620939236134,8.476590202708392,327.742775718405,357.401485368058,3742.723324470026,4161.6502592564175,0.05613635895833372,1.4595453329166768,0.037424239305555815,0.05613635895833372,1.1040150595138967,0.018712119652777907,4.696742032847254e-05,0.004970294510051214,3.7424239305555818e-06,3.614457831325301,4.761904761904762,0.9354188328507167,0.43037875201389186,0.4678029913194477,534413,0.071
Chester,2020,0.7919463087248322,0.8456375838926175,2.7881058282639084,6.493105519513934,263.27952351458515,318.51770072958556,3438.9881982661354,3706.477948702595,0.5052272306250035,1.8337877259722348,0.018712119652777907,0.4865151109722256,1.9834846831944581,0.018712119652777907,0.002163158456100432,0.005345154403055315,1.8712119652777908e-07,21.428571428571427,19.548872180451127,28.809462099764744,0.43037875201389186,0.4678029913194477,534413,0.071
Chester,2021,0.5135135135135135,0.6486486486486487,1.3846968543055653,6.156287365763932,245.1849038103489,307.00974714312713,3434.10433503676,3559.7000821462057,0.35553027340278026,1.4034089739583433,0.0,0.41166663236111395,1.4782574525694545,0.0,0.0014181915484840376,0.04751830513105033,0.0,20.212765957446805,21.782178217821784,2.898024265552169,0.43037875201389186,0.4678029913194477,534413,0.071
Beaver,2018,0.6851851851851852,0.8148148148148148,3.21017745147579,17.180394138453764,531.8193977944892,650.1798293850132,7547.662217994828,7663.228606247956,0.0,0.7133727669946199,0.0,0.0,1.010611419909045,0.0,0.0,0.004340278809856434,0.0,0.0,0.0,0.0,0.95116368932616,0.6539250364117349,168215,-0.014
Beaver,2019,0.6511627906976745,0.6744186046511628,2.556252415064055,15.396962220967216,400.0832268228161,503.7006212287846,6481.8238563742825,6709.568112237315,0.0,1.1889546116577,0.0,0.0,1.7834319174865498,0.0,0.0,0.009796986000059448,0.0,0.0,0.0,0.0,0.95116368932616,0.6539250364117349,168215,-0.014
Beaver,2022,0.6363636363636364,0.6363636363636364,1.3078500728234699,3.80465475730464,135.8975121124751,166.45364563207798,2712.718841958208,2699.818684421722,0.35668638349730997,1.129506881074815,0.0,0.5350295752459651,1.367297803406355,0.0,0.008726926849567518,0.01283595398745653,0.0,24.0,28.125,40.471989413321566,0.95116368932616,0.6539250364117349,168215,-0.014
