County,Year,% Naloxone Admin,% OD Survival,Opioid Overdoses,3+ Prescribers and 3+ Dispensers,Average Daily MME > 50,Overlapping Opioid/Benzodiazepine Prescriptions,Total Drug Dispensation,Total Prescriptions,Incidents - Fentanyl,Incidents - Heroin,Incidents - Opium,Arrests - Fentanyl,Arrests - Heroin,Arrests - Opium,Drug Quantity - Fentanyl,Drug Quantity - Heroin,Drug Quantity - Opium,%Incidents Fentanyl,%Arrests Fentanyl,%Quantity Fentanyl,Drug Take-Back Sites,Drug Treatment Locations,County Population,County Percent Change Since 2010
Huntingdon,2022,0.5,0.5,12,6.0,489.0,521.0,7212.0,9608.0,4.0,12.0,0.0,3.0,14.0,0.0,0.0323,0.01805,0.0,25.0,17.647058823529413,64.15094339622641,5,2,44092,-0.04
Union,2018,0.6666666666666666,1.0,3,7.0,1438.0,1676.0,22373.0,19650.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.02423,0.0,0.0,0.0,0.0,5,4,42681,-0.05
Union,2019,0.5,0.5,4,6.0,1032.0,1339.0,19641.0,17666.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.00525,0.0,0.0,0.0,0.0,5,4,42681,-0.05
Union,2020,0.4,0.4,5,12.0,880.0,1183.0,17997.0,16381.0,5.0,11.0,0.0,2.0,5.0,0.0,1.00233,0.07800800000000001,0.0,31.25,28.57142857142857,92.77929684968963,5,4,42681,-0.05
Union,2021,0.6,0.8,5,,845.0,1083.0,17548.0,15775.0,3.0,5.0,0.0,3.0,3.0,0.0,1.0020499999999999,0.00703,0.0,37.5,50.0,99.30332580172036,5,4,42681,-0.05
Union,2022,0.75,1.0,4,,379.0,421.0,8755.0,7707.0,1.0,1.0,0.0,0.0,1.0,0.0,0.001,0.0066,0.0,50.0,0.0,13.157894736842104,5,4,42681,-0.05
Montour,2018,0.42857142857142855,0.8571428571428571,7,9.0,832.0,731.0,19365.0,11307.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0345,0.0,0.0,0.0,0.0,3,2,18136,-0.007
Montour,2019,0.8333333333333334,0.8333333333333334,6,14.0,585.0,565.0,17096.0,9692.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.3778,0.0,0.0,0.0,0.0,3,2,18136,-0.007
Montour,2020,0.6666666666666666,0.75,12,0.0,452.0,489.0,15771.0,8680.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0005,0.0005600000000000001,0.0,25.0,0.0,47.16981132075471,3,2,18136,-0.007
Montour,2021,0.8,0.8,10,0.0,425.0,434.0,16043.0,8245.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,,0.0,3,2,18136,-0.007
Montour,2022,0.5,0.75,8,,212.0,172.0,7585.0,4169.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,,0.0,3,2,18136,-0.007
Warren,2022,0.7142857142857143,0.8571428571428571,7,6.0,674.0,675.0,8381.0,11887.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,4,3,38587,-0.077
Warren,2019,0.6666666666666666,1.0,3,43.0,1962.0,2395.0,22190.0,35921.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,4,3,38587,-0.077
Warren,2020,0.5,0.25,4,25.0,1670.0,2157.0,19378.0,28632.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,4,3,38587,-0.077
Warren,2021,0.0,0.0,2,,1515.0,1900.0,18302.0,27198.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,4,3,38587,-0.077
