,County,Year,Total Number of PA.gov Overdoses Per County/Year,Percent Narcan Admin Per County/Year,Percent Survive Overdose Per County/Year,%Arrests Fentanyl,Legal Opiod Dispense per Person,Risky Opiod Prescribe per Person
0,Delaware,2018,64,0.65625,0.703125,1.7964071856287425,1.2525561257216162,0.15212204635681223
1,Delaware,2019,39,0.717948717948718,0.6153846153846154,8.755760368663594,1.115882443700917,0.12264351715410088
2,Delaware,2020,63,0.5555555555555556,0.5873015873015873,11.790393013100436,0.9852771700501015,0.09980252704207479
3,Delaware,2021,50,0.56,0.7,20.418848167539267,0.7020588528024201,0.06696733830793648
4,Chester,2018,209,0.8133971291866029,0.7511961722488039,8.333333333333332,0.9989873187965111,0.12042461541916084
5,Chester,2019,175,0.7257142857142858,0.8057142857142857,4.761904761904762,0.8937547739295264,0.09804830720809561
6,Chester,2020,148,0.7905405405405406,0.8445945945945946,19.84732824427481,0.8074576217270163,0.08337900174531683
7,Chester,2021,75,0.49333333333333335,0.6533333333333333,21.782178217821784,0.5941452970626651,0.058860795347835844
8,Beaver,2018,54,0.6851851851851852,0.8148148148148148,0.0,2.109798591088785,0.18631138721279314
9,Beaver,2019,43,0.6511627906976745,0.6744186046511628,0.0,1.824397348631216,0.13900847130160807
10,Beaver,2020,32,0.71875,0.78125,12.82051282051282,1.62412240287727,0.11283926662984871
11,Beaver,2021,23,0.6086956521739131,0.5652173913043478,0.0,1.1684011936527063,0.07606113217684511
12,Bucks,2018,569,0.7398945518453427,0.804920913884007,0.0,1.240728093321661,0.16599251706782897
13,Bucks,2019,453,0.6821192052980133,0.8278145695364238,17.543859649122805,1.1211429335940037,0.13671700657965968
14,Bucks,2020,267,0.700374531835206,0.8014981273408239,41.42857142857143,1.0336624142741804,0.1214156319737587
15,Bucks,2021,136,0.6470588235294118,0.875,52.0,0.7660827686213958,0.08489987672547322
16,Philadelphia,2018,41,0.9512195121951219,0.926829268292683,7.142857142857142,1.1276147542363528,0.16264725523242654
17,Philadelphia,2019,40,0.9,0.95,12.109375,0.9790160600125827,0.12225979971280654
18,Philadelphia,2020,28,0.75,0.8571428571428571,27.184466019417474,0.833166934468639,0.0995364853857689
19,Philadelphia,2021,156,0.1858974358974359,0.1794871794871795,36.36363636363637,0.5903408089316105,0.06870899820899527
20,Washington,2018,67,0.6268656716417911,0.746268656716418,0.0,1.961034397107223,0.17304419892141829
21,Washington,2019,78,0.5641025641025641,0.6666666666666666,3.79746835443038,1.7874083945946722,0.13848014559419916
22,Washington,2020,78,0.5641025641025641,0.6794871794871795,7.0588235294117645,1.6932982244959374,0.11608128568457457
23,Washington,2021,72,0.5972222222222222,0.6388888888888888,3.4090909090909087,1.2091475076052907,0.07898522536310658
24,Cumberland,2018,67,0.6716417910447762,0.746268656716418,13.333333333333334,1.2843175099915598,0.12127275319980421
25,Cumberland,2019,107,0.7383177570093458,0.8037383177570093,17.647058823529413,1.1550160905541702,0.09783723681827115
26,Cumberland,2020,117,0.7264957264957265,0.7948717948717948,19.047619047619047,1.0517235199580683,0.08325928466629925
27,Cumberland,2021,81,0.691358024691358,0.7654320987654321,27.27272727272727,0.7726368565089472,0.05583351044695513
28,Northumberland,2018,37,0.8108108108108109,0.7837837837837838,0.0,2.537935229740199,0.18148231802459439
29,Northumberland,2021,31,0.8709677419354839,0.8387096774193549,46.15384615384615,1.4269188532093795,0.08515131535198096
30,Northumberland,2019,34,0.8235294117647058,0.7647058823529411,2.380952380952381,2.210303774264297,0.14537398932861959
31,Northumberland,2020,30,0.7666666666666667,0.9,23.809523809523807,2.047155935273386,0.1299673326563881
32,Montgomery,2018,134,0.6417910447761194,0.753731343283582,2.127659574468085,1.139929181264907,0.12899540367029244
33,Montgomery,2019,111,0.5585585585585585,0.6216216216216216,7.6190476190476195,1.0235552265884307,0.10378340861569571
34,Montgomery,2020,78,0.5769230769230769,0.6794871794871795,12.5,0.9067388007513837,0.08888454051964094
35,Montgomery,2021,157,0.4840764331210191,0.8598726114649682,31.3953488372093,0.6631737561628995,0.0633791224428681
36,Pike,2018,25,0.52,0.64,2.0408163265306123,1.8897533099854789,0.19257896984710005
37,Pike,2019,23,0.4782608695652174,0.7391304347826086,0.0,1.5085196890749124,0.13823268130178526
38,Pike,2020,33,0.5151515151515151,0.696969696969697,28.57142857142857,1.3212372085077304,0.10553859776407278
39,Pike,2021,23,0.6086956521739131,0.6521739130434783,20.689655172413794,0.9894884410612453,0.07860545630306653
40,Armstrong,2018,18,0.5555555555555556,0.5555555555555556,10.526315789473683,2.949091186430336,0.2062169376735105
41,Armstrong,2019,25,0.6,0.84,5.660377358490567,2.5769611641599806,0.15158500869459104
42,Armstrong,2020,40,0.725,0.85,12.371134020618557,1.9514019646725036,0.12487172141965892
43,Armstrong,2021,37,0.5135135135135135,0.5945945945945946,21.052631578947366,1.3734881193594985,0.08930027599363922
44,Carbon,2018,56,0.7142857142857143,0.7857142857142857,10.344827586206897,2.731314306012448,0.2451345966733077
45,Carbon,2019,47,0.7446808510638298,0.7872340425531915,11.11111111111111,2.262785216760104,0.17803996972926223
46,Carbon,2020,48,0.6666666666666666,0.75,28.125,2.129125855225563,0.15403189384206706
47,Carbon,2021,51,0.7450980392156863,0.803921568627451,43.47826086956522,1.4731463026411218,0.10563970681581182
48,Centre,2018,25,0.68,0.6,5.0,1.0938152138178692,0.08271362820221025
49,Centre,2019,12,0.5,0.5833333333333334,5.555555555555555,0.9560781301368131,0.06531630124168628
