,Area Name,County Code,State FIPS Code,County FIPS Code,Calendar Year,Benchmark Year,Labor Force,Employed,Unemployed,Unemployment Rate,Latitude,Longitude,Georeferenced Latitude & Longitude,Pennsylvania County Boundaries,Pa Senatorial Districts (2017-01),Municipality Boundary,Pa House Districts (2017-01),Pa School Districts (2017)
15,Pennsylvania,00,42,,2018,2018,6424000,6149000,276000,4.3,39.346129,-75.167756,"{'type': 'Point', 'coordinates': [-75.167756, 39.346129]}",,,,,
16,Mercer County,43,42,085,2016,2017,52500,49400,3100,6,41.30237777,-80.26009411,"{'type': 'Point', 'coordinates': [-80.26009411, 41.30237777]}",54,3,1048,48,300
17,Erie County,25,42,049,2016,2017,133600,124900,8700,6.5,41.99413787,-80.0407591,"{'type': 'Point', 'coordinates': [-80.0407591, 41.99413787]}",30,3,1153,52,163
18,Lebanon County,38,42,075,2016,2017,70600,67400,3200,4.5,40.367597,-76.46182575,"{'type': 'Point', 'coordinates': [-76.46182575, 40.367597]}",25,28,371,130,44
19,Fayette County,26,42,051,2016,2017,58500,53700,4700,8.1,39.9194478,-79.65189635,"{'type': 'Point', 'coordinates': [-79.65189635, 39.9194478]}",31,1,435,8,204
20,Pike County,52,42,103,2016,2017,24900,23300,1600,6.4,41.332572,-75.03270924,"{'type': 'Point', 'coordinates': [-75.03270924, 41.332572]}",62,29,1997,109,169
21,Chester County,15,42,029,2016,2017,280400,269500,10900,3.9,39.97487056,-75.75626498,"{'type': 'Point', 'coordinates': [-75.75626498, 39.97487056]}",6,32,2415,147,69
22,Northumberland County,49,42,097,2018,2018,43100,40800,2300,5.2,40.85150926,-76.71188423,"{'type': 'Point', 'coordinates': [-76.71188423, 40.85150926]}",60,22,2094,73,375
23,Mercer County,43,42,085,2017,2017,51000,48200,2800,5.5,41.30237777,-80.26009411,"{'type': 'Point', 'coordinates': [-80.26009411, 41.30237777]}",54,3,1048,48,300
24,Sullivan County,57,42,113,2017,2017,2800,2600,200,5.8,41.4480994,-76.5147922,"{'type': 'Point', 'coordinates': [-76.5147922, 41.4480994]}",67,21,1389,88,416
25,Union County,60,42,119,2018,2018,19600,18900,700,3.7,40.96473131,-77.06415803,"{'type': 'Point', 'coordinates': [-77.06415803, 40.96473131]}",49,21,1979,72,296
26,Dauphin County,22,42,043,2018,2018,142400,136700,5700,4,40.41974636,-76.77960568,"{'type': 'Point', 'coordinates': [-76.77960568, 40.41974636]}",18,23,2368,41,25
27,Potter County,53,42,105,2018,2018,7200,6800,400,5.3,41.74420644,-77.89879229,"{'type': 'Point', 'coordinates': [-77.89879229, 41.74420644]}",63,14,2155,14,58
28,Cumberland County,21,42,041,2016,2017,130200,124900,5300,4.1,40.16759839,-77.26866271,"{'type': 'Point', 'coordinates': [-77.26866271, 40.16759839]}",17,20,2128,40,146
29,Montour County,47,42,093,2016,2017,9100,8700,400,4.3,41.02801824,-76.66470527,"{'type': 'Point', 'coordinates': [-76.66470527, 41.02801824]}",58,22,963,54,64
30,Fayette County,26,42,051,2017,2017,57800,53800,4000,6.9,39.9194478,-79.65189635,"{'type': 'Point', 'coordinates': [-79.65189635, 39.9194478]}",31,1,435,8,204
31,Clearfield County,17,42,033,2018,2018,35700,34000,1800,5,41.000429,-78.47558343,"{'type': 'Point', 'coordinates': [-78.47558343, 41.000429]}",8,16,276,19,141
32,Sullivan County,57,42,113,2016,2017,2900,2700,200,7.1,41.4480994,-76.5147922,"{'type': 'Point', 'coordinates': [-76.5147922, 41.4480994]}",67,21,1389,88,416
33,Cambria County,11,42,021,2017,2017,59800,56100,3600,6.1,40.49127491,-78.71894174,"{'type': 'Point', 'coordinates': [-78.71894174, 40.49127491]}",2,16,1228,20,23
34,Greene County,30,42,059,2016,2017,17300,16000,1300,7.7,39.85480393,-80.22943817,"{'type': 'Point', 'coordinates': [-80.22943817, 39.85480393]}",37,12,1570,1,481
35,Fulton County,29,42,057,2018,2018,7900,7600,300,3.9,39.92487511,-78.11485045,"{'type': 'Point', 'coordinates': [-78.11485045, 39.92487511]}",36,17,164,31,472
36,Mifflin County,44,42,087,2018,2018,20800,19800,1000,4.7,40.61274928,-77.62003089,"{'type': 'Point', 'coordinates': [-77.62003089, 40.61274928]}",55,18,587,36,295
37,Lehigh County,39,42,077,2017,2017,188800,179300,9500,5,40.61464794,-75.60099481,"{'type': 'Point', 'coordinates': [-75.60099481, 40.61464794]}",26,36,506,115,336
38,Potter County,53,42,105,2017,2017,7200,6800,500,6.6,41.74420644,-77.89879229,"{'type': 'Point', 'coordinates': [-77.89879229, 41.74420644]}",63,14,2155,14,58
39,Clearfield County,17,42,033,2017,2017,35900,33700,2100,6,41.000429,-78.47558343,"{'type': 'Point', 'coordinates': [-78.47558343, 41.000429]}",8,16,276,19,141
40,Cameron County,12,42,023,2018,2018,2100,2000,100,5,41.43880265,-78.20916932,"{'type': 'Point', 'coordinates': [-78.20916932, 41.43880265]}",3,14,1009,14,105
41,Venango County,61,42,121,2016,2017,23700,22000,1700,7.3,41.40341259,-79.76286561,"{'type': 'Point', 'coordinates': [-79.76286561, 41.40341259]}",50,5,1400,45,71
42,Wayne County,64,42,127,2017,2017,22500,21400,1100,5.1,41.64969805,-75.3051535,"{'type': 'Point', 'coordinates': [-75.3051535, 41.64969805]}",53,29,1928,89,433
43,Dauphin County,22,42,043,2017,2017,142000,135600,6400,4.5,40.41974636,-76.77960568,"{'type': 'Point', 'coordinates': [-76.77960568, 40.41974636]}",18,23,2368,41,25
44,Westmoreland County,65,42,129,2017,2017,181800,172400,9400,5.2,40.310315,-79.47134118,"{'type': 'Point', 'coordinates': [-79.47134118, 40.310315]}",24,13,2447,6,209
45,Northumberland County,49,42,097,2017,2017,43700,41200,2500,5.7,40.85150926,-76.71188423,"{'type': 'Point', 'coordinates': [-76.71188423, 40.85150926]}",60,22,2094,73,375
46,Allegheny County,02,42,003,2016,2017,647700,614100,33500,5.2,40.46735543,-79.98619843,"{'type': 'Point', 'coordinates': [-79.98619843, 40.46735543]}",40,6,2158,163,324
47,Blair County,07,42,013,2017,2017,60200,57300,2900,4.8,40.48555024,-78.34907687,"{'type': 'Point', 'coordinates': [-78.34907687, 40.48555024]}",46,17,294,28,268
48,Blair County,07,42,013,2016,2017,60900,57700,3200,5.3,40.48555024,-78.34907687,"{'type': 'Point', 'coordinates': [-78.34907687, 40.48555024]}",46,17,294,28,268
49,Union County,60,42,119,2016,2017,19800,18900,900,4.8,40.96473131,-77.06415803,"{'type': 'Point', 'coordinates': [-77.06415803, 40.96473131]}",49,21,1979,72,296
50,Pennsylvania,00,42,,2017,2018,6425000,6111000,314000,4.9,39.346129,-75.167756,"{'type': 'Point', 'coordinates': [-75.167756, 39.346129]}",,,,,
51,Clinton County,18,42,035,2017,2017,18300,17200,1100,6.2,41.23286274,-77.6428376,"{'type': 'Point', 'coordinates': [-77.6428376, 41.23286274]}",9,14,1835,74,206
52,Westmoreland County,65,42,129,2018,2018,180500,172500,8000,4.4,40.310315,-79.47134118,"{'type': 'Point', 'coordinates': [-79.47134118, 40.310315]}",24,13,2447,6,209
53,Lackawanna County,35,42,069,2017,2017,106300,100900,5500,5.1,41.43910064,-75.61218345,"{'type': 'Point', 'coordinates': [-75.61218345, 41.43910064]}",22,34,1283,125,253
54,Fulton County,29,42,057,2016,2017,7300,6800,500,6.3,39.92487511,-78.11485045,"{'type': 'Point', 'coordinates': [-78.11485045, 39.92487511]}",36,17,164,31,472
55,Lehigh County,39,42,077,2016,2017,189100,179000,10100,5.3,40.61464794,-75.60099481,"{'type': 'Point', 'coordinates': [-75.60099481, 40.61464794]}",26,36,506,115,336
56,Erie County,25,42,049,2018,2018,129300,123200,6100,4.7,41.99413787,-80.0407591,"{'type': 'Point', 'coordinates': [-80.0407591, 41.99413787]}",30,3,1153,52,163
57,Armstrong County,03,42,005,2017,2017,32700,30700,2000,6.1,40.81509526,-79.47316899,"{'type': 'Point', 'coordinates': [-79.47316899, 40.81509526]}",41,15,834,11,106
58,Somerset County,56,42,111,2018,2018,33600,31800,1700,5.1,39.97146299,-79.03100206,"{'type': 'Point', 'coordinates': [-79.03100206, 39.97146299]}",66,1,799,30,428
59,Dauphin County,22,42,043,2016,2017,142200,135400,6800,4.8,40.41974636,-76.77960568,"{'type': 'Point', 'coordinates': [-76.77960568, 40.41974636]}",18,23,2368,41,25
60,Allegheny County,02,42,003,2018,2018,645200,619100,26100,4,40.46735543,-79.98619843,"{'type': 'Point', 'coordinates': [-79.98619843, 40.46735543]}",40,6,2158,163,324
61,Greene County,30,42,059,2018,2018,16600,15800,800,4.9,39.85480393,-80.22943817,"{'type': 'Point', 'coordinates': [-80.22943817, 39.85480393]}",37,12,1570,1,481
62,Juniata County,34,42,067,2016,2017,12200,11500,700,5.4,40.53433008,-77.405775,"{'type': 'Point', 'coordinates': [-77.405775, 40.53433008]}",21,18,53,36,201
63,Erie County,25,42,049,2017,2017,130800,123200,7600,5.8,41.99413787,-80.0407591,"{'type': 'Point', 'coordinates': [-80.0407591, 41.99413787]}",30,3,1153,52,163
64,Venango County,61,42,121,2018,2018,22400,21300,1100,4.9,41.40341259,-79.76286561,"{'type': 'Point', 'coordinates': [-79.76286561, 41.40341259]}",50,5,1400,45,71
65,Westmoreland County,65,42,129,2016,2017,182900,172200,10700,5.9,40.310315,-79.47134118,"{'type': 'Point', 'coordinates': [-79.47134118, 40.310315]}",24,13,2447,6,209
66,Greene County,30,42,059,2017,2017,16800,15800,1000,5.9,39.85480393,-80.22943817,"{'type': 'Point', 'coordinates': [-80.22943817, 39.85480393]}",37,12,1570,1,481
67,Cumberland County,21,42,041,2018,2018,130300,126000,4300,3.3,40.16759839,-77.26866271,"{'type': 'Point', 'coordinates': [-77.26866271, 40.16759839]}",17,20,2128,40,146
68,Butler County,10,42,019,2016,2017,98600,93600,5000,5.1,40.91083185,-79.91711779,"{'type': 'Point', 'coordinates': [-79.91711779, 40.91083185]}",1,5,738,12,100
69,Pike County,52,42,103,2018,2018,24700,23400,1300,5.4,41.332572,-75.03270924,"{'type': 'Point', 'coordinates': [-75.03270924, 41.332572]}",62,29,1997,109,169
70,Potter County,53,42,105,2016,2017,7400,6800,600,7.8,41.74420644,-77.89879229,"{'type': 'Point', 'coordinates': [-77.89879229, 41.74420644]}",63,14,2155,14,58
71,Juniata County,34,42,067,2018,2018,12500,12000,500,4,40.53433008,-77.405775,"{'type': 'Point', 'coordinates': [-77.405775, 40.53433008]}",21,18,53,36,201
72,Berks County,06,42,011,2018,2018,212500,203700,8800,4.2,40.41939635,-75.93077327,"{'type': 'Point', 'coordinates': [-75.93077327, 40.41939635]}",45,27,191,46,435
73,McKean County,42,42,083,2017,2017,18100,17000,1100,6.2,41.81037074,-78.5712202,"{'type': 'Point', 'coordinates': [-78.5712202, 41.81037074]}",47,14,1778,14,424
74,Somerset County,56,42,111,2017,2017,33600,31500,2000,6.1,39.97146299,-79.03100206,"{'type': 'Point', 'coordinates': [-79.03100206, 39.97146299]}",66,1,799,30,428
75,Butler County,10,42,019,2017,2017,98300,93800,4500,4.6,40.91083185,-79.91711779,"{'type': 'Point', 'coordinates': [-79.91711779, 40.91083185]}",1,5,738,12,100
