,Area Name,County Code,State FIPS Code,County FIPS Code,Calendar Year,Benchmark Year,Labor Force,Employed,Unemployed,Unemployment Rate,Latitude,Longitude,Georeferenced Latitude & Longitude,Pennsylvania County Boundaries,Pa Senatorial Districts (2017-01),Municipality Boundary,Pa House Districts (2017-01),Pa School Districts (2017)
109,Montgomery County,46,42,091,2018,2018,449400,434000,15400,3.4,40.20989874,-75.37252001,"{'type': 'Point', 'coordinates': [-75.37252001, 40.20989874]}",57,33,1082,152,249
110,Columbia County,19,42,037,2017,2017,33800,32000,1800,5.2,41.04912086,-76.4100218,"{'type': 'Point', 'coordinates': [-76.4100218, 41.04912086]}",10,22,1073,90,24
111,Elk County,24,42,047,2018,2018,15800,15200,600,3.9,41.42819416,-78.64947713,"{'type': 'Point', 'coordinates': [-78.64947713, 41.42819416]}",29,14,1258,15,405
112,Philadelphia County,51,42,101,2018,2018,709600,670300,39300,5.5,40.00444354,-75.140236,"{'type': 'Point', 'coordinates': [-75.140236, 40.00444354]}",13,46,1069,182,365
113,Lawrence County,37,42,073,2018,2018,40800,38700,2100,5.1,40.99325035,-80.33754114,"{'type': 'Point', 'coordinates': [-80.33754114, 40.99325035]}",27,2,622,22,231
114,Montgomery County,46,42,091,2017,2017,448700,431400,17300,3.9,40.20989874,-75.37252001,"{'type': 'Point', 'coordinates': [-75.37252001, 40.20989874]}",57,33,1082,152,249
115,Centre County,14,42,027,2017,2017,78600,75700,2900,3.7,40.9193135,-77.82500112,"{'type': 'Point', 'coordinates': [-77.82500112, 40.9193135]}",5,18,1790,74,37
116,Bucks County,09,42,017,2017,2017,341400,327000,14500,4.2,40.33501133,-75.11291241,"{'type': 'Point', 'coordinates': [-75.11291241, 40.33501133]}",35,40,430,145,22
117,Bradford County,08,42,015,2016,2017,30200,28200,2000,6.5,41.79117814,-76.51825624,"{'type': 'Point', 'coordinates': [-76.51825624, 41.79117814]}",34,21,442,88,349
118,Luzerne County,40,42,079,2016,2017,158800,148800,10000,6.3,41.17836439,-75.9919961,"{'type': 'Point', 'coordinates': [-75.9919961, 41.17836439]}",14,30,406,92,52
119,Huntingdon County,31,42,061,2017,2017,19700,18600,1200,6,40.416105,-77.9827661,"{'type': 'Point', 'coordinates': [-77.9827661, 40.416105]}",38,17,1344,32,290
120,Lancaster County,36,42,071,2017,2017,280300,269600,10700,3.8,40.04590796,-76.25138768,"{'type': 'Point', 'coordinates': [-76.25138768, 40.04590796]}",23,25,222,144,74
121,Bedford County,05,42,009,2018,2018,23700,22600,1100,4.5,40.00737536,-78.49116474,"{'type': 'Point', 'coordinates': [-78.49116474, 40.00737536]}",43,16,1549,31,3
122,Elk County,24,42,047,2017,2017,16000,15200,800,4.9,41.42819416,-78.64947713,"{'type': 'Point', 'coordinates': [-78.64947713, 41.42819416]}",29,14,1258,15,405
123,Wyoming County,66,42,131,2016,2017,14100,13200,900,6.2,41.51892488,-76.01813003,"{'type': 'Point', 'coordinates': [-76.01813003, 41.51892488]}",11,29,2460,91,444
124,Crawford County,20,42,039,2018,2018,39000,37100,1800,4.7,41.68546907,-80.11321083,"{'type': 'Point', 'coordinates': [-80.11321083, 41.68546907]}",16,3,1995,47,344
125,Warren County,62,42,123,2018,2018,19100,18200,800,4.5,41.81675237,-79.27858158,"{'type': 'Point', 'coordinates': [-79.27858158, 41.81675237]}",51,5,1741,60,234
126,Lycoming County,41,42,081,2017,2017,57600,54400,3300,5.6,41.34459792,-77.06942457,"{'type': 'Point', 'coordinates': [-77.06942457, 41.34459792]}",15,21,1905,75,441
